PLAYER,TEAM,AGE,DATE OF BIRTH,COUNTRY,WEIGHT,HEIGHT,POS,HANDED,DRAFTED,SLIDE CAND.,WAIVERS EXEMPT,ARB. ELIG,GP,G,A,P,P/GP,+/-,Sh,Sh%,TOI,W,L,SO,GAA,Sv%,TYPE,SIGNING DATE,SIGNING AGE,ARB. ELIG.1,ARB. REQ,CLAUSE,LENGTH,SIGNING,EXPIRY,EXP. YEAR,CAP HIT,CAP HIT %,AAV,SALARY,BASE SALARY,MINORS,S.BONUS,P.BONUS
1. Connor McDavid,EDM,22,"Jan 13, 1997",Canada,193 lbs - 88 kg,6' 1 - 185 cm,C,Left,1 - Round 1 - 2015 (EDM),,,,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,Standard (1-way),"Jul 5, 2017",20,,,,8,RFA,UFA,2026,"$12,500,000",16.7%,"$12,500,000","$14,000,000","$1,000,000","$14,000,000","$13,000,000",$0
2. Artemi Panarin,NYR,27,"Oct 30, 1991",Russia,168 lbs - 76 kg,5' 11 - 180 cm,LW,Right,-,,,,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,Standard (1-way),"Jul 1, 2019",27,,,NMC,7,UFA,UFA,2026,"$11,642,857",14.3%,"$11,642,857","$14,000,000","$1,000,000","$14,000,000","$13,000,000",$0
3. Auston Matthews,TOR,21,"Sep 17, 1997",United States,223 lbs - 101 kg,6' 3 - 191 cm,C,Left,1 - Round 1 - 2016 (TOR),,,,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,Standard (1-way),"Feb 5, 2019",21,,,,5,RFA,UFA,2024,"$11,634,000",14.6%,"$11,634,000","$15,900,000","$700,000","$15,900,000","$15,200,000",$0
4. Erik Karlsson,SJS,29,"May 31, 1990",Sweden,190 lbs - 86 kg,6' 0 - 183 cm,D,Right,15 - Round 1 - 2008 (OTT),,,,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,Standard (1-way),"Jun 17, 2019",29,,,NMC,8,UFA,UFA,2027,"$11,500,000",14.5%,"$11,500,000","$14,500,000","$3,500,000","$14,500,000","$11,000,000",$0
5. John Tavares,TOR,28,"Sep 20, 1990",Canada,209 lbs - 95 kg,6' 1 - 185 cm,C,Left,1 - Round 1 - 2009 (NYI),,,,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,Standard (1-way),"Jul 1, 2018",27,,,NMC,7,UFA,UFA,2025,"$11,000,000",13.8%,"$11,000,000","$15,900,000","$910,000","$15,900,000","$14,990,000",$0
6. Drew Doughty,LAK,29,"Dec 8, 1989",Canada,202 lbs - 92 kg,6' 1 - 185 cm,D,Right,2 - Round 1 - 2008 (LAK),,,,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,Standard (1-way),"Jul 1, 2018",29,,,NMC,8,UFA,UFA,2027,"$11,000,000",13.8%,"$11,000,000","$12,000,000","$2,000,000","$12,000,000","$10,000,000",$0
7. Jonathan Toews,CHI,31,"Apr 29, 1988",Canada,201 lbs - 91 kg,6' 2 - 188 cm,C,Left,3 - Round 1 - 2006 (CHI),,,,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,Standard (1-way),"Jul 9, 2014",26,,,NMC,8,UFA,UFA,2023,"$10,500,000",15.2%,"$10,500,000","$9,800,000","$3,800,000","$9,800,000","$6,000,000",$0
8. Carey Price,MTL,31,"Aug 16, 1987",Canada,215 lbs - 98 kg,6' 3 - 191 cm,G,Left,5 - Round 1 - 2005 (MTL),,,,0,-,-,-,-,-,-,-,-,0,0,0,0.00,.000,Standard (1-way),"Jul 2, 2017",29,,,NMC,8,UFA,UFA,2026,"$10,500,000",14.0%,"$10,500,000","$15,000,000","$2,000,000","$15,000,000","$13,000,000",$0
9. Patrick Kane,CHI,30,"Nov 19, 1988",United States,177 lbs - 80 kg,5' 10 - 178 cm,"RW, C",Left,1 - Round 1 - 2007 (CHI),,,,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,Standard (1-way),"Jul 9, 2014",26,,,NMC,8,UFA,UFA,2023,"$10,500,000",15.2%,"$10,500,000","$9,800,000","$3,800,000","$9,800,000","$6,000,000",$0
10. Sergei Bobrovsky,FLA,30,"Sep 20, 1988",Russia,182 lbs - 83 kg,6' 2 - 188 cm,G,Left,-,,,,0,-,-,-,-,-,-,-,-,0,0,0,0.00,.000,Standard (1-way),"Jul 1, 2019",30,,,NMC,7,UFA,UFA,2026,"$10,000,000",12.3%,"$10,000,000","$11,500,000","$4,000,000","$11,500,000","$7,500,000",$0
11. Anze Kopitar,LAK,31,"Aug 24, 1987",Slovenia,225 lbs - 102 kg,6' 3 - 191 cm,C,Left,11 - Round 1 - 2005 (LAK),,,,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,Standard (1-way),"Jan 16, 2016",28,,,NMC,8,UFA,UFA,2024,"$10,000,000",14.0%,"$10,000,000","$11,000,000","$11,000,000","$11,000,000",$0,$0
12. Jack Eichel,BUF,22,"Oct 28, 1996",United States,200 lbs - 91 kg,6' 2 - 188 cm,C,Right,2 - Round 1 - 2015 (BUF),,,,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,Standard (1-way),"Oct 3, 2017",21,,,,8,RFA,UFA,2026,"$10,000,000",13.3%,"$10,000,000","$10,000,000","$10,000,000","$10,000,000",$0,$0
13. Tyler Seguin,DAL,27,"Jan 31, 1992",Canada,200 lbs - 91 kg,6' 1 - 185 cm,"C, RW",Right,2 - Round 1 - 2010 (BOS),,,,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,Standard (1-way),"Sep 13, 2018",27,,,NMC,8,UFA,UFA,2027,"$9,850,000",12.4%,"$9,850,000","$13,500,000","$5,000,000","$13,500,000","$8,500,000",$0
14. Alex Ovechkin,WSH,33,"Sep 17, 1985",Russia,235 lbs - 107 kg,6' 3 - 191 cm,"LW, RW",Right,1 - Round 1 - 2004 (WSH),,,,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,Standard (1-way),"Jan 10, 2008",22,,,M-NTC,13,RFA,UFA,2021,"$9,538,462",16.8%,"$9,538,462","$10,000,000","$10,000,000","$10,000,000",$0,$0
15. Nikita Kucherov,TBL,26,"Jun 17, 1993",Russia,178 lbs - 81 kg,5' 11 - 180 cm,RW,Left,58 - Round 2 - 2011 (TBL),,,,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,Standard (1-way),"Jul 10, 2018",26,✔,,,8,RFA,UFA,2027,"$9,500,000",11.9%,"$9,500,000","$12,000,000","$1,000,000","$12,000,000","$11,000,000",$0
16. Mark Stone,VGK,27,"May 13, 1992",Canada,219 lbs - 99 kg,6' 4 - 193 cm,RW,Right,178 - Round 6 - 2010 (OTT),,,,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,Standard (1-way),"Mar 8, 2019",27,,,NMC,8,UFA,UFA,2027,"$9,500,000",11.9%,"$9,500,000","$12,000,000","$3,000,000","$12,000,000","$9,000,000",$0
17. Evgeni Malkin,PIT,32,"Jul 31, 1986",Russia,195 lbs - 88 kg,6' 3 - 191 cm,C,Left,2 - Round 1 - 2004 (PIT),,,,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,Standard (1-way),"Jul 1, 2013",27,,,NMC,8,UFA,UFA,2022,"$9,500,000",14.8%,"$9,500,000","$9,500,000","$9,500,000","$9,500,000",$0,$0
