jerseyNumber,person_fullName,person_id,person_link,position_abbreviation,position_code,position_name,position_type,team,teamFullName,year
37,Shawn Anderson,8444957,/api/v1/people/8444957,D,D,Defenseman,Defenseman,QUE,Quebec Nordiques,19901991
13,Jamie Baker,8445202,/api/v1/people/8445202,C,C,Center,Forward,QUE,Quebec Nordiques,19901991
10,Aaron Broten,8445725,/api/v1/people/8445725,C,C,Center,Forward,QUE,Quebec Nordiques,19901991
6,Joe Cirella,8446062,/api/v1/people/8446062,D,D,Defenseman,Defenseman,QUE,Quebec Nordiques,19901991
23,Lucien DeBlois,8446353,/api/v1/people/8446353,C,C,Center,Forward,QUE,Quebec Nordiques,19901991
33,Daniel Dore,8446432,/api/v1/people/8446432,RW,R,Right Wing,Forward,QUE,Quebec Nordiques,19901991
2,Mario Doyon,8446475,/api/v1/people/8446475,D,D,Defenseman,Defenseman,QUE,Quebec Nordiques,19901991
29,Steven Finn,8446825,/api/v1/people/8446825,D,D,Defenseman,Defenseman,QUE,Quebec Nordiques,19901991
43,Bryan Fogarty,8446873,/api/v1/people/8446873,D,D,Defenseman,Defenseman,QUE,Quebec Nordiques,19901991
9,Marc Fortier,8446935,/api/v1/people/8446935,C,C,Center,Forward,QUE,Quebec Nordiques,19901991
12,Paul Gillis,8447192,/api/v1/people/8447192,C,C,Center,Forward,QUE,Quebec Nordiques,19901991
5,Alexei Gusarov,8447363,/api/v1/people/8447363,D,D,Defenseman,Defenseman,QUE,Quebec Nordiques,19901991
18,Mike Hough,8447985,/api/v1/people/8447985,LW,L,Left Wing,Forward,QUE,Quebec Nordiques,19901991
12,Tony Hrkac,8448017,/api/v1/people/8448017,C,C,Center,Forward,QUE,Quebec Nordiques,19901991
14,Jeff Jackson,8448204,/api/v1/people/8448204,LW,L,Left Wing,Forward,QUE,Quebec Nordiques,19901991
29,Darin Kimble,8448483,/api/v1/people/8448483,RW,R,Right Wing,Forward,QUE,Quebec Nordiques,19901991
10,Guy Lafleur,8448624,/api/v1/people/8448624,RW,R,Right Wing,Forward,QUE,Quebec Nordiques,19901991
13,Claude Lapointe,8448674,/api/v1/people/8448674,C,C,Center,Forward,QUE,Quebec Nordiques,19901991
